Date,Product Name,City,Quantity Sold,Product Price,Revenue,Day of Week,Month,Season
2018-01-15,Azithromycin,Kanchipuram,84,54.5,4578.02,0,1,Winter
2018-01-15,Aspirin,Tiruchirappalli,149,27.47,4092.87,0,1,Winter
2018-01-15,Acetaminophen,Thanjavur,98,21.23,2080.68,0,1,Winter
2018-01-15,Simvastatin,Tiruchirappalli,149,65.6,9774.4,0,1,Winter
2018-01-15,Diazepam,Coimbatore,75,64.74,4855.41,0,1,Winter
2018-01-16,Acetylsalicylic Acid,Chennai,149,26.44,3938.83,1,1,Winter
2018-01-16,Sodium Valproate,Coimbatore,143,100.2,14328.98,1,1,Winter
2018-01-16,Simvastatin,Salem,143,64.96,9289.28,1,1,Winter
2018-01-16,Antihistamines,Kanchipuram,105,42.79,4493.31,1,1,Winter
2018-01-16,Buprenorphine,Madurai,114,175.3,19984.24,1,1,Winter
2018-01-17,Clarithromycin,Madurai,80,58.87,4709.59,2,1,Winter
2018-01-17,Prednisolone,Thanjavur,85,98.54,8375.85,2,1,Winter
2018-01-17,Levothyroxine,Thanjavur,91,108.01,9829.22,2,1,Winter
2018-01-17,Metoprolol,Madurai,140,43.76,6126.04,2,1,Winter
2018-01-17,Nifedipine,Madurai,82,52.63,4315.26,2,1,Winter
2018-01-18,Methotrexate,Salem,120,97.98,11757.48,3,1,Winter
2018-01-18,Diphenhydramine,Madurai,73,32.51,2373.03,3,1,Winter
2018-01-18,Omeprazole,Vellore,103,48.93,5039.41,3,1,Winter
2018-01-18,Metformin,Thanjavur,146,36.78,5369.41,3,1,Winter
2018-01-18,Cough Syrups,Madurai,136,27.47,3736.22,3,1,Winter
2018-01-19,Codeine,Vellore,129,53.41,6889.6,4,1,Winter
2018-01-19,Clopidogrel,Thanjavur,131,75.85,9935.74,4,1,Winter
2018-01-19,Buprenorphine,Erode,120,169.97,20396.57,4,1,Winter
2018-01-19,Methotrexate,Coimbatore,92,98.86,9095.14,4,1,Winter
2018-01-19,Sildenafil,Salem,71,82.0,5822.23,4,1,Winter
2018-01-20,Cough Syrups,Vellore,91,26.94,2451.12,5,1,Winter
2018-01-20,Losartan,Erode,133,59.02,7849.81,5,1,Winter
2018-01-20,Metoprolol,Thanjavur,106,43.8,4643.09,5,1,Winter
2018-01-20,Pregabalin,Salem,87,76.69,6672.45,5,1,Winter
2018-01-20,Topiramate,Tirunelveli,107,116.44,12458.7,5,1,Winter
2018-01-21,Quetiapine,Chennai,144,138.72,19976.09,6,1,Winter
2018-01-21,Pregabalin,Tirunelveli,89,73.96,6582.79,6,1,Winter
2018-01-21,Hydrocodone,Chennai,89,63.3,5633.26,6,1,Winter
2018-01-21,Furosemide,Coimbatore,85,27.24,2315.24,6,1,Winter
2018-01-21,Losartan,Vellore,86,58.37,5019.83,6,1,Winter
2018-01-22,Gabapentin,Erode,126,64.61,8140.36,0,1,Winter
2018-01-22,Vitamins,Thanjavur,139,21.99,3055.97,0,1,Winter
2018-01-22,Levothyroxine,Tirunelveli,95,109.97,10447.55,0,1,Winter
2018-01-22,Risperidone,Thanjavur,78,126.13,9838.35,0,1,Winter
2018-01-22,Venlafaxine,Thanjavur,141,205.47,28971.11,0,1,Winter
2018-01-23,Hydrocodone,Salem,140,64.22,8991.1,1,1,Winter
2018-01-23,Nifedipine,Chennai,118,52.87,6238.96,1,1,Winter
2018-01-23,Warfarin,Kanchipuram,110,93.26,10258.67,1,1,Winter
2018-01-23,Metformin,Chennai,81,37.29,3020.74,1,1,Winter
2018-01-23,Diphenhydramine,Chennai,119,32.25,3837.67,1,1,Winter
2018-01-24,Metoprolol,Salem,78,42.91,3346.99,2,1,Winter
2018-01-24,Methocarbamol,Coimbatore,149,48.99,7300.25,2,1,Winter
2018-01-24,Bupropion,Coimbatore,113,261.66,29567.34,2,1,Winter
2018-01-24,Paracetamol,Erode,76,21.23,1613.7,2,1,Winter
2018-01-24,Aspirin,Tiruchirappalli,71,26.75,1899.39,2,1,Winter
2018-01-25,Methotrexate,Kanchipuram,109,96.22,10487.69,3,1,Winter
2018-01-25,Amoxicillin,Salem,95,43.29,4112.77,3,1,Winter
2018-01-25,Warfarin,Tiruchirappalli,104,91.28,9492.85,3,1,Winter
2018-01-25,Paroxetine,Chennai,80,220.89,17670.86,3,1,Winter
2018-01-25,Hydrochlorothiazide,Thanjavur,137,32.21,4412.26,3,1,Winter
2018-01-26,Sildenafil,Thanjavur,87,80.27,6983.17,4,1,Winter
2018-01-26,Alprazolam,Coimbatore,96,76.68,7361.29,4,1,Winter
2018-01-26,Aspirin,Madurai,126,27.47,3461.55,4,1,Winter
2018-01-26,Tamsulosin,Tiruchirappalli,98,60.07,5886.62,4,1,Winter
2018-01-26,Furosemide,Erode,71,27.22,1932.77,4,1,Winter
2018-01-27,Gabapentin,Tirunelveli,75,63.65,4774.11,5,1,Winter
2018-01-27,Acetaminophen,Salem,72,21.81,1570.56,5,1,Winter
2018-01-27,Methocarbamol,Vellore,107,47.78,5112.88,5,1,Winter
2018-01-27,Omeprazole,Tirunelveli,82,48.71,3994.52,5,1,Winter
2018-01-27,Pregabalin,Kanchipuram,71,75.65,5371.2,5,1,Winter
2018-01-28,Omeprazole,Tiruchirappalli,86,47.8,4110.62,6,1,Winter
2018-01-28,Omeprazole,Chennai,83,49.37,4097.31,6,1,Winter
2018-01-28,Aspirin,Madurai,147,26.66,3919.14,6,1,Winter
2018-01-28,Warfarin,Tiruchirappalli,138,91.17,12581.06,6,1,Winter
2018-01-28,Simvastatin,Tirunelveli,100,65.13,6513.44,6,1,Winter
2018-01-29,Cetirizine,Coimbatore,83,15.81,1312.55,0,1,Winter
2018-01-29,Bupropion,Tirunelveli,84,254.24,21356.56,0,1,Winter
2018-01-29,Antihistamines,Tirunelveli,103,42.32,4358.47,0,1,Winter
2018-01-29,Sodium Valproate,Coimbatore,148,103.32,15292.03,0,1,Winter
2018-01-29,Propylthiouracil,Chennai,101,92.04,9296.34,0,1,Winter
2018-01-30,Doxycycline,Salem,137,86.89,11903.76,1,1,Winter
2018-01-30,Ranitidine,Vellore,128,27.3,3493.98,1,1,Winter
2018-01-30,Vitamins,Tirunelveli,139,22.0,3057.88,1,1,Winter
2018-01-30,Metformin,Erode,104,37.43,3892.66,1,1,Winter
2018-01-30,Amoxicillin,Chennai,125,42.47,5309.08,1,1,Winter
2018-01-31,Antihistamines,Vellore,113,42.45,4796.92,2,1,Winter
2018-01-31,Nifedipine,Thanjavur,78,54.78,4272.94,2,1,Winter
2018-01-31,Lorazepam,Thanjavur,128,75.31,9640.24,2,1,Winter
2018-01-31,Buprenorphine,Salem,130,171.16,22251.09,2,1,Winter
2018-01-31,Paracetamol,Vellore,91,21.35,1942.47,2,1,Winter
2018-02-01,Warfarin,Tiruchirappalli,73,91.35,6668.62,3,2,Winter
2018-02-01,Probiotics,Salem,121,37.69,4560.13,3,2,Winter
2018-02-01,Cough Syrups,Madurai,129,27.08,3493.41,3,2,Winter
2018-02-01,Sodium Valproate,Coimbatore,133,103.93,13822.26,3,2,Winter
2018-02-01,Topiramate,Tirunelveli,72,116.02,8353.13,3,2,Winter
2018-02-02,Cyclobenzaprine,Chennai,105,43.7,4588.37,4,2,Winter
2018-02-02,Duloxetine,Kanchipuram,81,190.48,15429.27,4,2,Winter
2018-02-02,Hydrocodone,Coimbatore,147,63.26,9299.29,4,2,Winter
2018-02-02,Metformin,Tirunelveli,123,37.71,4638.25,4,2,Winter
2018-02-02,Acetylsalicylic Acid,Coimbatore,86,26.29,2260.92,4,2,Winter
2018-02-03,Ezetimibe,Madurai,94,84.92,7982.44,5,2,Winter
2018-02-03,Buprenorphine,Erode,74,172.03,12730.58,5,2,Winter
2018-02-03,Metformin,Madurai,91,37.16,3381.67,5,2,Winter
2018-02-03,Oxycodone,Coimbatore,138,82.19,11342.23,5,2,Winter
2018-02-03,Losartan,Thanjavur,96,58.32,5599.0,5,2,Winter
2018-02-04,Ezetimibe,Chennai,99,84.51,8366.09,6,2,Winter
2018-02-04,Paracetamol,Coimbatore,114,21.43,2443.03,6,2,Winter
2018-02-04,Olanzapine,Coimbatore,118,153.23,18080.65,6,2,Winter
2018-02-04,Levothyroxine,Tirunelveli,147,107.97,15872.06,6,2,Winter
2018-02-04,Furosemide,Vellore,119,26.65,3170.98,6,2,Winter
2018-02-05,Paracetamol,Thanjavur,123,21.28,2617.96,0,2,Winter
2018-02-05,Metformin,Erode,80,37.42,2993.63,0,2,Winter
2018-02-05,Azithromycin,Erode,93,53.41,4966.93,0,2,Winter
2018-02-05,Duloxetine,Thanjavur,147,195.31,28710.82,0,2,Winter
2018-02-05,Diphenhydramine,Salem,100,31.64,3163.63,0,2,Winter
2018-02-06,Quetiapine,Thanjavur,79,140.04,11063.52,1,2,Winter
2018-02-06,Ranitidine,Madurai,134,26.68,3574.57,1,2,Winter
2018-02-06,Doxycycline,Vellore,102,86.04,8775.91,1,2,Winter
2018-02-06,Cough Syrups,Tirunelveli,75,27.03,2027.06,1,2,Winter
2018-02-06,Risperidone,Tirunelveli,140,130.66,18292.35,1,2,Winter
2018-02-07,Ranitidine,Vellore,134,26.88,3602.35,2,2,Winter
2018-02-07,Aspirin,Madurai,97,26.62,2582.31,2,2,Winter
2018-02-07,Hydrochlorothiazide,Vellore,98,32.09,3145.03,2,2,Winter
2018-02-07,Aspirin,Kanchipuram,86,27.25,2343.17,2,2,Winter
2018-02-07,Azithromycin,Tiruchirappalli,148,53.09,7857.71,2,2,Winter
2018-02-08,Clonazepam,Erode,143,52.81,7551.93,3,2,Winter
2018-02-08,Methocarbamol,Coimbatore,90,48.56,4370.62,3,2,Winter
2018-02-08,Olanzapine,Tiruchirappalli,77,153.4,11811.52,3,2,Winter
2018-02-08,Diazepam,Coimbatore,131,65.22,8543.82,3,2,Winter
2018-02-08,Aspirin,Tiruchirappalli,73,26.81,1957.21,3,2,Winter
2018-02-09,Acetylsalicylic Acid,Erode,93,26.58,2471.53,4,2,Winter
2018-02-09,Bupropion,Kanchipuram,119,259.54,30884.99,4,2,Winter
2018-02-09,Propylthiouracil,Tiruchirappalli,91,90.33,8219.71,4,2,Winter
2018-02-09,Amoxicillin,Kanchipuram,137,42.94,5882.22,4,2,Winter
2018-02-09,Metformin,Salem,133,37.03,4925.02,4,2,Winter
2018-02-10,Methotrexate,Salem,94,98.6,9267.97,5,2,Winter
2018-02-10,Hydrocodone,Vellore,140,64.86,9080.85,5,2,Winter
2018-02-10,Paroxetine,Salem,72,223.97,16125.57,5,2,Winter
2018-02-10,Clopidogrel,Coimbatore,139,75.47,10490.95,5,2,Winter
2018-02-10,Hydrocodone,Salem,124,63.03,7815.9,5,2,Winter
2018-02-11,Sodium Valproate,Tirunelveli,104,103.64,10778.35,6,2,Winter
2018-02-11,Clopidogrel,Tirunelveli,90,76.53,6887.91,6,2,Winter
2018-02-11,Methotrexate,Coimbatore,126,96.4,12145.95,6,2,Winter
2018-02-11,Ibuprofen,Chennai,80,31.55,2524.19,6,2,Winter
2018-02-11,Aspirin,Madurai,107,27.24,2914.86,6,2,Winter
2018-02-12,Cetirizine,Chennai,89,16.38,1457.4,0,2,Winter
2018-02-12,Levothyroxine,Vellore,83,105.55,8760.69,0,2,Winter
2018-02-12,Probiotics,Madurai,86,38.5,3310.67,0,2,Winter
2018-02-12,Olanzapine,Vellore,82,147.18,12068.42,0,2,Winter
2018-02-12,Azithromycin,Kanchipuram,111,52.7,5849.25,0,2,Winter
2018-02-13,Codeine,Coimbatore,147,54.19,7966.36,1,2,Winter
2018-02-13,Metformin,Tirunelveli,71,37.4,2655.58,1,2,Winter
2018-02-13,Amoxicillin,Thanjavur,79,42.44,3352.66,1,2,Winter
2018-02-13,Olanzapine,Erode,93,150.17,13965.73,1,2,Winter
2018-02-13,Acetaminophen,Chennai,106,21.51,2280.48,1,2,Winter
2018-02-14,Propylthiouracil,Thanjavur,101,90.47,9137.55,2,2,Winter
2018-02-14,Lorazepam,Erode,141,76.15,10737.3,2,2,Winter
2018-02-14,Mirtazapine,Coimbatore,101,250.8,25330.68,2,2,Winter
2018-02-14,Sertraline,Coimbatore,87,216.78,18859.89,2,2,Winter
2018-02-14,Buprenorphine,Vellore,77,169.45,13047.8,2,2,Winter
2018-02-15,Methocarbamol,Erode,88,48.36,4255.86,3,2,Winter
2018-02-15,Diazepam,Tiruchirappalli,145,64.48,9349.09,3,2,Winter
2018-02-15,Cough Syrups,Kanchipuram,117,26.79,3134.01,3,2,Winter
2018-02-15,Venlafaxine,Thanjavur,100,205.48,20548.28,3,2,Winter
2018-02-15,Bupropion,Tiruchirappalli,72,263.97,19005.98,3,2,Winter
2018-02-16,Gabapentin,Kanchipuram,113,64.22,7257.29,4,2,Winter
2018-02-16,Levothyroxine,Erode,93,106.39,9894.58,4,2,Winter
2018-02-16,Methotrexate,Chennai,99,96.17,9520.64,4,2,Winter
2018-02-16,Probiotics,Salem,79,38.08,3008.6,4,2,Winter
2018-02-16,Duloxetine,Erode,138,191.58,26437.9,4,2,Winter
2018-02-17,Doxycycline,Chennai,87,86.44,7520.62,5,2,Winter
2018-02-17,Acetaminophen,Salem,88,21.86,1923.58,5,2,Winter
2018-02-17,Clopidogrel,Vellore,109,75.57,8237.34,5,2,Winter
2018-02-17,Tamsulosin,Tiruchirappalli,133,58.89,7832.33,5,2,Winter
2018-02-17,Risperidone,Kanchipuram,83,127.74,10602.44,5,2,Winter
2018-02-18,Pregabalin,Thanjavur,99,74.98,7422.86,6,2,Winter
2018-02-18,Hydrochlorothiazide,Tirunelveli,115,32.83,3774.9,6,2,Winter
2018-02-18,Gabapentin,Salem,94,64.76,6087.21,6,2,Winter
2018-02-18,Clonazepam,Tirunelveli,142,54.78,7778.4,6,2,Winter
2018-02-18,Topiramate,Tiruchirappalli,87,120.25,10462.18,6,2,Winter
2018-02-19,Azithromycin,Tiruchirappalli,76,54.27,4124.57,0,2,Winter
2018-02-19,Vitamins,Vellore,107,21.55,2305.7,0,2,Winter
2018-02-19,Bupropion,Thanjavur,135,253.13,34172.96,0,2,Winter
2018-02-19,Antacids,Salem,85,16.48,1400.97,0,2,Winter
2018-02-19,Antihistamines,Kanchipuram,117,43.59,5099.92,0,2,Winter
2018-02-20,Diazepam,Coimbatore,88,64.63,5687.76,1,2,Winter
2018-02-20,Lorazepam,Tirunelveli,82,74.06,6072.68,1,2,Winter
2018-02-20,Quetiapine,Tiruchirappalli,138,136.63,18854.34,1,2,Winter
2018-02-20,Quetiapine,Tirunelveli,137,142.39,19507.7,1,2,Winter
2018-02-20,Cetirizine,Madurai,110,15.92,1751.12,1,2,Winter
2018-02-21,Cyclobenzaprine,Vellore,74,42.84,3170.47,2,2,Winter
2018-02-21,Hydrocodone,Salem,135,65.16,8796.7,2,2,Winter
2018-02-21,Venlafaxine,Salem,122,206.1,25144.45,2,2,Winter
2018-02-21,Oxycodone,Tiruchirappalli,71,79.87,5670.63,2,2,Winter
2018-02-21,Fluoxetine,Madurai,70,233.07,16315.14,2,2,Winter
2018-02-22,Simvastatin,Chennai,107,64.24,6873.45,3,2,Winter
2018-02-22,Clarithromycin,Tirunelveli,126,57.85,7289.48,3,2,Winter
2018-02-22,Antacids,Salem,136,16.23,2207.04,3,2,Winter
2018-02-22,Olanzapine,Tirunelveli,93,148.62,13821.62,3,2,Winter
2018-02-22,Clopidogrel,Salem,117,75.58,8842.3,3,2,Winter
2018-02-23,Azithromycin,Thanjavur,117,54.52,6378.51,4,2,Winter
2018-02-23,Methotrexate,Madurai,87,95.97,8349.3,4,2,Winter
2018-02-23,Oxycodone,Vellore,73,79.46,5800.83,4,2,Winter
2018-02-23,Methocarbamol,Madurai,113,48.13,5438.72,4,2,Winter
2018-02-23,Azithromycin,Tiruchirappalli,99,53.3,5276.28,4,2,Winter
2018-02-24,Olanzapine,Kanchipuram,91,147.95,13463.18,5,2,Winter
2018-02-24,Quetiapine,Thanjavur,94,141.28,13280.66,5,2,Winter
2018-02-24,Methotrexate,Madurai,107,97.16,10396.23,5,2,Winter
2018-02-24,Azithromycin,Coimbatore,89,53.72,4780.64,5,2,Winter
2018-02-24,Ibuprofen,Erode,139,32.18,4472.51,5,2,Winter
2018-02-25,Probiotics,Madurai,116,37.37,4334.61,6,2,Winter
2018-02-25,Olanzapine,Tiruchirappalli,78,147.83,11530.71,6,2,Winter
2018-02-25,Furosemide,Erode,76,26.8,2036.6,6,2,Winter
2018-02-25,Antacids,Coimbatore,149,16.13,2402.7,6,2,Winter
2018-02-25,Furosemide,Salem,82,26.39,2163.91,6,2,Winter
2018-02-26,Cough Syrups,Chennai,98,26.81,2627.43,0,2,Winter
2018-02-26,Carisoprodol,Tiruchirappalli,76,60.06,4564.19,0,2,Winter
2018-02-26,Tamsulosin,Vellore,96,60.16,5775.1,0,2,Winter
2018-02-26,Simvastatin,Tiruchirappalli,115,64.09,7369.92,0,2,Winter
2018-02-26,Risperidone,Chennai,115,127.92,14710.74,0,2,Winter
2018-02-27,Diphenhydramine,Salem,117,32.42,3792.76,1,2,Winter
2018-02-27,Olanzapine,Tiruchirappalli,72,147.36,10610.01,1,2,Winter
2018-02-27,Buprenorphine,Madurai,111,175.9,19524.48,1,2,Winter
2018-02-27,Acetaminophen,Salem,130,21.54,2800.0,1,2,Winter
2018-02-27,Warfarin,Salem,89,93.15,8290.5,1,2,Winter
2018-02-28,Metformin,Tiruchirappalli,109,38.2,4164.05,2,2,Winter
2018-02-28,Lorazepam,Thanjavur,87,73.99,6437.51,2,2,Winter
2018-02-28,Ibuprofen,Chennai,74,31.7,2346.11,2,2,Winter
2018-02-28,Azithromycin,Salem,70,54.71,3830.0,2,2,Winter
2018-02-28,Cetirizine,Thanjavur,91,16.45,1496.83,2,2,Winter
2018-03-01,Oxycodone,Tirunelveli,80,75.0,6000.0,3,3,Spring
2018-03-01,Quetiapine,Tiruchirappalli,91,130.0,11830.0,3,3,Spring
2018-03-01,Losartan,Tiruchirappalli,94,55.0,5170.0,3,3,Spring
2018-03-01,Hydrochlorothiazide,Thanjavur,100,30.0,3000.0,3,3,Spring
2018-03-01,Venlafaxine,Salem,51,190.0,9690.0,3,3,Spring
2018-03-02,Hydrocodone,Tirunelveli,50,60.0,3000.0,4,3,Spring
2018-03-02,Paroxetine,Chennai,60,210.0,12600.0,4,3,Spring
2018-03-02,Aspirin,Tirunelveli,97,25.0,2425.0,4,3,Spring
2018-03-02,Clopidogrel,Coimbatore,76,70.0,5320.0,4,3,Spring
2018-03-02,Quetiapine,Thanjavur,53,130.0,6890.0,4,3,Spring
2018-03-03,Mirtazapine,Salem,57,230.0,13110.0,5,3,Spring
2018-03-03,Bupropion,Tirunelveli,66,240.0,15840.0,5,3,Spring
2018-03-03,Azithromycin,Coimbatore,51,50.0,2550.0,5,3,Spring
2018-03-03,Paroxetine,Thanjavur,79,210.0,16590.0,5,3,Spring
2018-03-03,Cetirizine,Coimbatore,53,15.0,795.0,5,3,Spring
2018-03-04,Acetylsalicylic Acid,Tiruchirappalli,46,25.0,1150.0,6,3,Spring
2018-03-04,Alprazolam,Coimbatore,97,70.0,6790.0,6,3,Spring
2018-03-04,Paracetamol,Coimbatore,70,20.0,1400.0,6,3,Spring
2018-03-04,Topiramate,Tirunelveli,58,110.0,6380.0,6,3,Spring
2018-03-04,Diphenhydramine,Salem,71,30.0,2130.0,6,3,Spring
2018-03-05,Duloxetine,Salem,47,180.0,8460.0,0,3,Spring
2018-03-05,Azithromycin,Thanjavur,65,50.0,3250.0,0,3,Spring
2018-03-05,Loratadine,Chennai,44,20.0,880.0,0,3,Spring
2018-03-05,Acetylsalicylic Acid,Tirunelveli,67,25.0,1675.0,0,3,Spring
2018-03-05,Hydrocodone,Tiruchirappalli,49,60.0,2940.0,0,3,Spring
2018-03-06,Cyclobenzaprine,Erode,53,40.0,2120.0,1,3,Spring
2018-03-06,Topiramate,Tirunelveli,41,110.0,4510.0,1,3,Spring
2018-03-06,Nifedipine,Salem,90,50.0,4500.0,1,3,Spring
2018-03-06,Topiramate,Erode,60,110.0,6600.0,1,3,Spring
2018-03-06,Cyclobenzaprine,Chennai,60,40.0,2400.0,1,3,Spring
2018-03-07,Hydrocodone,Coimbatore,60,60.0,3600.0,2,3,Spring
2018-03-07,Sodium Valproate,Chennai,63,95.0,5985.0,2,3,Spring
2018-03-07,Bupropion,Erode,68,240.0,16320.0,2,3,Spring
2018-03-07,Mirtazapine,Erode,70,230.0,16100.0,2,3,Spring
2018-03-07,Doxycycline,Chennai,73,80.0,5840.0,2,3,Spring
2018-03-08,Cyclobenzaprine,Tirunelveli,99,40.0,3960.0,3,3,Spring
2018-03-08,Cetirizine,Thanjavur,49,15.0,735.0,3,3,Spring
2018-03-08,Sildenafil,Tirunelveli,54,75.0,4050.0,3,3,Spring
2018-03-08,Oxycodone,Erode,46,75.0,3450.0,3,3,Spring
2018-03-08,Vitamins,Vellore,42,20.0,840.0,3,3,Spring
2018-03-09,Levothyroxine,Coimbatore,81,100.0,8100.0,4,3,Spring
2018-03-09,Levothyroxine,Madurai,96,100.0,9600.0,4,3,Spring
2018-03-09,Cyclobenzaprine,Erode,98,40.0,3920.0,4,3,Spring
2018-03-09,Olanzapine,Erode,85,140.0,11900.0,4,3,Spring
2018-03-09,Azithromycin,Tirunelveli,42,50.0,2100.0,4,3,Spring
2018-03-10,Methocarbamol,Tirunelveli,40,45.0,1800.0,5,3,Spring
2018-03-10,Vitamins,Vellore,99,20.0,1980.0,5,3,Spring
2018-03-10,Tamsulosin,Erode,88,55.0,4840.0,5,3,Spring
2018-03-10,Sertraline,Thanjavur,99,200.0,19800.0,5,3,Spring
2018-03-10,Venlafaxine,Salem,55,190.0,10450.0,5,3,Spring
2018-03-11,Glibenclamide,Coimbatore,71,45.0,3195.0,6,3,Spring
2018-03-11,Losartan,Erode,76,55.0,4180.0,6,3,Spring
2018-03-11,Cetirizine,Madurai,66,15.0,990.0,6,3,Spring
2018-03-11,Acetylsalicylic Acid,Chennai,78,25.0,1950.0,6,3,Spring
2018-03-11,Buprenorphine,Madurai,44,160.0,7040.0,6,3,Spring
2018-03-12,Risperidone,Salem,44,120.0,5280.0,0,3,Spring
2018-03-12,Methadone,Erode,48,150.0,7200.0,0,3,Spring
